p_swp,H2_sinr,H2_nom
0.1,4.44388239341882,5.7950221641398
0.1125,4.3489410647199,5.52822250055744
0.125,4.2673628764144,5.30738515154733
0.1375,4.1969496633874,5.12075780459712
0.15,4.13558408434387,4.96032832796283
0.1625,4.08168788488403,4.82071342063643
0.175,4.03542759688017,4.69783016505791
0.1875,3.99323087370957,4.58873940591295
0.2,3.95571237543226,4.49120734562641
0.2125,3.92265121517951,4.40343773202445
0.225,3.89271206323291,4.32403759562582
0.2375,3.86654122130167,4.25189663036499
0.25,3.84536136608868,4.18609103552615
0.2625,3.82409717292412,4.12585783384371
0.275,3.80512273216569,4.07055016208268
0.2875,3.78821401617553,4.01962848186111
0.3,3.7733460349864,3.97264682190656
0.3125,3.759613119166,3.9292020957238
0.325,3.74786519369665,3.8889787669614
0.3375,3.73742315591355,3.85165778070188
0.35,3.72821193499503,3.81699767859438
0.3625,3.72031744315249,3.78476973512204
0.375,3.7130501627964,3.75476734515864
0.3875,3.70781773998041,3.72681641393258
0.4,3.70298582584617,3.70075883926652
0.425,3.69603759957518,3.65377172778101
0.45,3.69210530028606,3.61283242612849
0.475,3.69217869855746,3.57714962386234
0.5,3.69298649446264,3.54605304198654
0.525,3.69612853936124,3.51901053089473
0.55,3.70100240503849,3.49554363191361
0.575,3.70803269931557,3.47526526844524
0.6,3.71606355178973,3.45783008592257
0.625,3.72474286140758,3.44294840484865
0.65,3.7348821495894,3.43036370172346
0.675,3.74630229567785,3.41985187650903
0.7,3.75867239077594,3.41122469805587
0.725,3.77325276043494,3.40430417747121
0.75,3.78724935346941,3.39893905782781
0.775,3.80104437041437,3.39499223602717
0.8,3.81621178318314,3.39234471299014
0.825,3.83377508518164,3.39088686611549
0.85,3.85002254763073,3.39052090594705
0.875,3.86678625306908,3.39115858664067
0.9,3.88405194498922,3.39272094247061
0.925,3.90154933913018,3.39513624068551
0.95,3.91996582557553,3.39833877159606
0.975,3.93817903616056,3.40226909994712
1,3.95703106210738,3.40687807120022
NaN,3.83487718275713,3.38742348729583
